Username,Compound Score,Positive Score,Negative Score,Neutral Score,Time Posted,Tweets Ago
CBS,0.0,0.0,0.0,1.0,Wed Jun 27 20:31:32 +0000 2018,53
CBS,0.7574,0.289,0.0,0.711,Wed Jun 27 14:00:01 +0000 2018,54
CBS,0.3555,0.222,0.136,0.642,Wed Jun 20 00:39:01 +0000 2018,59
CBS,0.5707,0.187,0.0,0.813,Wed Jul 25 17:25:36 +0000 2018,5
CBS,0.0,0.0,0.0,1.0,Wed Jul 25 15:12:31 +0000 2018,6
CBS,0.34,0.118,0.0,0.882,Wed Jul 25 01:05:03 +0000 2018,7
CBS,0.5562,0.174,0.0,0.826,Wed Jul 11 21:44:45 +0000 2018,41
CBS,0.5411,0.143,0.0,0.857,Wed Jul 11 19:09:34 +0000 2018,42
BBC,-0.6369,0.0,0.318,0.682,Wed Aug 01 18:01:06 +0000 2018,41
BBC,0.0,0.0,0.0,1.0,Wed Aug 01 16:02:02 +0000 2018,42
BBC,0.0,0.0,0.0,1.0,Wed Aug 01 14:03:04 +0000 2018,43
BBC,0.1779,0.137,0.104,0.758,Wed Aug 01 13:00:29 +0000 2018,44
BBC,-0.509,0.0,0.171,0.829,Wed Aug 01 12:02:03 +0000 2018,45
BBC,0.0,0.0,0.0,1.0,Wed Aug 01 11:56:31 +0000 2018,46
BBC,0.5859,0.211,0.0,0.789,Wed Aug 01 11:00:09 +0000 2018,47
BBC,0.6114,0.266,0.0,0.734,Wed Aug 01 09:20:33 +0000 2018,48
BBC,0.0,0.0,0.0,1.0,Wed Aug 01 09:20:00 +0000 2018,49
BBC,0.0,0.0,0.0,1.0,Wed Aug 01 08:01:06 +0000 2018,50
BBC,-0.5423,0.0,0.137,0.863,Wed Aug 01 07:27:04 +0000 2018,51
BBC,0.6369,0.208,0.0,0.792,Wed Aug 01 07:02:06 +0000 2018,52
CBS,-0.5562,0.134,0.315,0.551,Tue Jun 12 00:19:23 +0000 2018,66
CBS,0.9098,0.469,0.0,0.531,Tue Jul 31 21:02:33 +0000 2018,3
BBC,0.0,0.0,0.0,1.0,Tue Jul 31 20:02:08 +0000 2018,53
BBC,0.5859,0.192,0.0,0.808,Tue Jul 31 19:01:03 +0000 2018,54
BBC,0.0,0.0,0.0,1.0,Tue Jul 31 18:02:06 +0000 2018,55
BBC,0.0,0.0,0.0,1.0,Tue Jul 31 16:33:01 +0000 2018,56
BBC,0.0,0.0,0.0,1.0,Tue Jul 31 16:01:02 +0000 2018,57
BBC,0.765,0.266,0.0,0.734,Tue Jul 31 15:19:43 +0000 2018,58
BBC,0.636,0.208,0.0,0.792,Tue Jul 31 14:02:05 +0000 2018,59
BBC,0.0,0.0,0.0,1.0,Tue Jul 31 13:00:23 +0000 2018,60
BBC,0.5719,0.188,0.0,0.812,Tue Jul 31 11:41:04 +0000 2018,61
BBC,0.7178,0.231,0.0,0.769,Tue Jul 31 11:38:00 +0000 2018,62
BBC,-0.1779,0.0,0.086,0.914,Tue Jul 31 11:07:35 +0000 2018,63
BBC,0.0,0.0,0.0,1.0,Tue Jul 31 09:50:02 +0000 2018,64
BBC,0.1877,0.098,0.0,0.902,Tue Jul 31 08:02:04 +0000 2018,65
BBC,0.3612,0.205,0.096,0.699,Tue Jul 31 07:28:06 +0000 2018,66
BBC,0.4215,0.192,0.0,0.808,Tue Jul 31 07:00:08 +0000 2018,67
CBS,-0.1511,0.068,0.099,0.834,Tue Jul 24 18:54:14 +0000 2018,8
CBS,0.0,0.0,0.0,1.0,Tue Jul 17 17:55:25 +0000 2018,18
CBS,0.0,0.0,0.0,1.0,Tue Jul 17 17:22:29 +0000 2018,23
CBS,0.0,0.0,0.0,1.0,Tue Jul 17 17:22:29 +0000 2018,22
CBS,0.0,0.0,0.0,1.0,Tue Jul 17 17:22:29 +0000 2018,21
CBS,0.0,0.0,0.0,1.0,Tue Jul 17 17:22:29 +0000 2018,20
CBS,0.0,0.0,0.0,1.0,Tue Jul 17 17:22:29 +0000 2018,19
CBS,0.0,0.0,0.0,1.0,Tue Jul 17 17:22:28 +0000 2018,24
CBS,0.0,0.0,0.0,1.0,Tue Jul 17 17:22:28 +0000 2018,26
CBS,0.0,0.0,0.0,1.0,Tue Jul 17 17:22:28 +0000 2018,29
CBS,0.0,0.0,0.0,1.0,Tue Jul 17 17:22:28 +0000 2018,27
CBS,0.0,0.0,0.0,1.0,Tue Jul 17 17:22:28 +0000 2018,28
CBS,0.0,0.0,0.0,1.0,Tue Jul 17 17:22:28 +0000 2018,25
CBS,0.0,0.0,0.0,1.0,Tue Jul 17 17:22:27 +0000 2018,30
CBS,0.0,0.0,0.0,1.0,Tue Jul 17 17:22:27 +0000 2018,34
CBS,0.0,0.0,0.0,1.0,Tue Jul 17 17:22:27 +0000 2018,31
CBS,0.0,0.0,0.0,1.0,Tue Jul 17 17:22:27 +0000 2018,33
CBS,0.0,0.0,0.0,1.0,Tue Jul 17 17:22:27 +0000 2018,32
CBS,0.807,0.3,0.0,0.7,Tue Jul 17 17:22:26 +0000 2018,36
CBS,0.0,0.0,0.0,1.0,Tue Jul 17 17:22:26 +0000 2018,35
CBS,0.4926,0.242,0.0,0.758,Thu Jun 21 23:29:50 +0000 2018,58
CBS,-0.296,0.0,0.167,0.833,Thu Jun 14 17:30:00 +0000 2018,64
